YET,Edson Airport,Edson,CA,Canada,53.5789,-116.465
YEU,Eureka Airport,Eureka,CA,Canada,79.9947,-85.8142
YEV,Inuvik Mike Zubko Airport,Inuvik,CA,Canada,68.3042,-133.483
YEY,Amos Magny Airport,Amos,CA,Canada,48.5639,-78.2497
YFA,Fort Albany Airport,Fort Albany,CA,Canada,52.2014,-81.6969
YFB,Iqaluit Airport,Iqaluit,CA,Canada,63.7564,-68.5558
YFC,Fredericton Airport,Fredericton,CA,Canada,45.8689,-66.5372
YFE,Forestville Airport,Forestville,CA,Canada,48.7461,-69.0972
YFH,Fort Hope Airport,Fort Hope,CA,Canada,51.5619,-87.9078
YTM,La Macaza / Mont-Tremblant International Inc Airport,Riviere Rouge,CA,Canada,46.4094,-74.78
YFO,Flin Flon Airport,Flin Flon,CA,Canada,54.6781,-101.682
YFR,Fort Resolution Airport,Fort Resolution,CA,Canada,61.1808,-113.69
YFS,Fort Simpson Airport,Fort Simpson,CA,Canada,61.7602,-121.237
YMN,Makkovik Airport,Makkovik,CA,Canada,55.0769,-59.1864
YGB,Texada Gillies Bay Airport,Texada,CA,Canada,49.6942,-124.518
YGH,Fort Good Hope Airport,Fort Good Hope,CA,Canada,66.2408,-128.651
YGK,Kingston Norman Rogers Airport,Kingston,CA,Canada,44.2253,-76.5969
YGL,La Grande Riviere Airport,La Grande Riviere,CA,Canada,53.6253,-77.7042
YGM,Gimli Industrial Park Airport,Gimli,CA,Canada,50.6281,-97.0433
YGO,Gods Lake Narrows Airport,Gods Lake Narrows,CA,Canada,54.5589,-94.4914
YGP,Gaspe (Michel-Pouliot) Airport,Gaspe,CA,Canada,48.7753,-64.4786
YGQ,Geraldton Greenstone Regional Airport,Geraldton,CA,Canada,49.7783,-86.9394
YGR,Iles-de-la-Madeleine Airport,Iles-de-la-Madeleine,CA,Canada,47.4247,-61.7781
YGT,Igloolik Airport,Igloolik,CA,Canada,69.3647,-81.8161
YGV,Havre St Pierre Airport,Havre St-Pierre,CA,Canada,50.2819,-63.6114
YGW,Kuujjuarapik Airport,Kuujjuarapik,CA,Canada,55.2819,-77.7653
YGX,Gillam Airport,Gillam,CA,Canada,56.3575,-94.7106
YGZ,Grise Fiord Airport,Grise Fiord,CA,Canada,76.4261,-82.9092
YQC,Quaqtaq Airport,Quaqtaq,CA,Canada,61.0464,-69.6178
YHD,Dryden Regional Airport,Dryden,CA,Canada,49.8317,-92.7442
YHE,Hope Airport,Hope,CA,Canada,49.3683,-121.498
YHF,Hearst Rene Fontaine Municipal Airport,Hearst,CA,Canada,49.7142,-83.6861
YNS,Nemiscau Airport,Nemiscau,CA,Canada,51.6911,-76.1356
YHI,Ulukhaktok Holman Airport,Ulukhaktok,CA,Canada,70.7628,-117.806
YHK,Gjoa Haven Airport,Gjoa Haven,CA,Canada,68.6356,-95.8497
YHM,John C. Munro Hamilton International Airport,Hamilton,CA,Canada,43.1736,-79.935
YHN,Hornepayne Municipal Airport,Hornepayne,CA,Canada,49.1931,-84.7589
YHO,Hopedale Airport,Hopedale,CA,Canada,55.4483,-60.2286
YHR,Chevery Airport,Chevery,CA,Canada,50.4689,-59.6367
YHT,Haines Junction Airport,Haines Junction,CA,Canada,60.7892,-137.546
YHU,Montreal / Saint-Hubert Airport,Montreal,CA,Canada,45.5175,-73.4169
YHY,Hay River / Merlyn Carter Airport,Hay River,CA,Canada,60.8397,-115.783
YHZ,Halifax / Stanfield International Airport,Halifax,CA,Canada,44.8808,-63.5086
YIB,Atikokan Municipal Airport,Atikokan,CA,Canada,48.7739,-91.6386
YDG,Digby / Annapolis Regional Airport,Digby,CA,Canada,44.5458,-65.7854
YIF,St Augustin Airport,St-Augustin,CA,Canada,51.2117,-58.6583
YIK,Ivujivik Airport,Ivujivik,CA,Canada,62.4173,-77.9253
YIO,Pond Inlet Airport,Pond Inlet,CA,Canada,72.6833,-77.9667
YIV,Island Lake Airport,Island Lake,CA,Canada,53.8572,-94.6536
YJF,Fort Liard Airport,Fort Liard,CA,Canada,60.2358,-123.469
YJN,St Jean Airport,St Jean,CA,Canada,45.2944,-73.2811
YJT,Stephenville Airport,Stephenville,CA,Canada,48.5442,-58.55
YKA,Kamloops Airport,Kamloops,CA,Canada,50.7022,-120.444
LAK,Aklavik Airport,Aklavik,CA,Canada,68.2233,-135.006
